"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72452623107202325548.ret"
""
"Cadastrado título novo: 9000007535 3579 - ADM ARMAZENS GERAIS 07/08/2023 RG 196,79 0"
"Pago título: 2230003867 939 - LEF PISOS E REVESTIME 31/07/2023 LQ 1026,6 1026,6"
"Pago título: 2230003885 942 - RAIZEN ENERGIA S/A 31/07/2023 LQ 11929,19 11929,19"
"Pago título: 2230003886 942 - RAIZEN ENERGIA S/A 31/08/2023 LQ 11929,21 11929,21"
"Pago título: 2230003903 946 - HOTEL CAMPING ESTANCI 31/07/2023 LQ 995,39 995,39"
"Pago título: 2230003909 948 - QUINTA DA BARONEZA GO 31/07/2023 LQ 3882,09 3882,09"
"Pago título: 2230003927 955 - PREFEITURA DO MUNICIP 31/07/2023 LQ 5687,28 5687,28"
"Pago título: 2230003933 959 - ASK PRODUTOS QUIMICOS 31/07/2023 LQ 226,1 226,1"
"Pago título: 2230003939 962 - SAO MARTINHO S.A. 31/07/2023 LQ 44735,32 44735,32"
"Pago título: 2230003951 966 - SERVICO DE AGUA E ESG 31/07/2023 LQ 24904,28 24904,28"
"Pago título: 2230003969 975 - BANN QUIMICA LTDA 31/07/2023 LQ 210,83 210,83"
"Pago título: 2230003975 976 - SOCIEDADE DE ABASTECI 31/07/2023 LQ 44650,43 44650,43"
"Pago título: 2230003987 981 - PIRACAIA IND E COM EX 31/07/2023 LQ 914,61 914,61"
"Pago título: 2230003993 985 - CONDOMINIO FAZENDA DU 31/07/2023 LQ 390,92 390,92"
"Pago título: 2230003999 986 - PREFEITURA MUNICIPAL 31/07/2023 LQ 48182,35 48182,35"
"Pago título: 2230004017 1000 - CIA SANEAMENTO BASIC 31/07/2023 LQ 2977,6 2977,6"
"Pago título: 2230004023 1001 - CIA SANEAMENTO BASIC 31/07/2023 LQ 1059,76 1059,76"
"Pago título: 2230004029 1002 - CIA SANEAMENTO BASIC 31/07/2023 LQ 2139,1 2139,1"
"Pago título: 2230004035 1004 - BRANYL COMERCIO E IN 31/07/2023 LQ 1199,55 1199,55"
"Pago título: 2230004041 1024 - RAIZEN ENERGIA S/A 31/07/2023 LQ 15495,79 15495,79"
"Pago título: 2230004047 1033 - CCS TECNOLOGIA E SER 31/07/2023 LQ 298,01 298,01"
"Pago título: 2230004059 1047 - QUIMICA AMPARO LTDA 31/07/2023 LQ 5765,68 5765,68"
"Pago título: 2230004071 1050 - CIA SANEAMENTO BASIC 31/07/2023 LQ 922,16 922,16"
"Pago título: 2230004077 1052 - DEPARTAMENTO DE AGUA 31/07/2023 LQ 46850,23 46850,23"
"Pago título: 2230004083 1054 - CIA SANEAMENTO BASIC 31/07/2023 LQ 2781,26 2781,26"
"Pago título: 2230004089 1055 - CARTONIFICIO VALINHO 31/07/2023 LQ 1846,22 1846,22"
"Pago título: 2230004095 1057 - CIA SANEAMENTO BASIC 31/07/2023 LQ 19277,88 19277,88"
"Pago título: 2230004101 1058 - CIA SANEAMENTO BASIC 31/07/2023 LQ 9318,79 9318,79"
"Pago título: 2230004107 1060 - CIA SANEAMENTO BASIC 31/07/2023 LQ 5090,41 5090,41"
"Pago título: 2230004113 1063 - CIA SANEAMENTO BASIC 31/07/2023 LQ 3818,63 3818,63"
"Pago título: 2230004119 1064 - CIA SANEAMENTO BASIC 31/07/2023 LQ 710,78 710,78"
"Pago título: 2230004125 1065 - CIA SANEAMENTO BASIC 31/07/2023 LQ 32349,43 32349,43"
"Pago título: 2230004131 1066 - CIA SANEAMENTO BASIC 31/07/2023 LQ 1538,24 1538,24"
"Pago título: 2230004137 1067 - CIA SANEAMENTO BASIC 31/07/2023 LQ 9552,95 9552,95"
"Pago título: 2230004143 1070 - CIA SANEAMENTO BASIC 31/07/2023 LQ 5153,09 5153,09"
"Pago título: 2230004149 1073 - CIA SANEAMENTO BASIC 31/07/2023 LQ 12498,11 12498,11"
"Pago título: 2230004155 1074 - CIA SANEAMENTO BASIC 31/07/2023 LQ 1849,83 1849,83"
"Pago título: 2230004161 1075 - TINTEX TINTURARIA TE 31/07/2023 LQ 2547,89 2547,89"
"Pago título: 2230004167 1077 - DP & LF TRANSPORTES 31/07/2023 LQ 250,29 250,29"
"Pago título: 2230004173 1078 - DAE S/A AGUA E ESGOT 31/07/2023 LQ 144045,97 144045,97"
"Pago título: 2230004185 1084 - COMPANHIA DE SANEAME 31/07/2023 LQ 27062,35 27062,35"
"Pago título: 2230004191 1085 - YAKULT S/A INDUSTRIA 31/07/2023 LQ 369,38 369,38"
"Pago título: 2230004197 1086 - ENGENHO SAO PEDRO AG 31/07/2023 LQ 2149,31 2149,31"
"Pago título: 2230004203 1087 - TOYOTA DO BRASIL LTD 31/07/2023 LQ 2691,12 2691,12"
"Pago título: 2230004209 1091 - DEPARTAMENTO DE AGUA 31/07/2023 LQ 492,74 492,74"
"Pago título: 2230004215 1097 - TERRAR INDUSTRIA E C 31/07/2023 LQ 229,51 229,51"
"Pago título: 2230004233 1110 - SERVICO AUTONOMO DE 31/07/2023 LQ 5361,7 5361,7"
"Pago título: 2230004239 1111 - CIA SANEAMENTO BASIC 31/07/2023 LQ 537248,3 537248,3"
"Pago título: 2230004245 1112 - CIA SANEAMENTO BASIC 31/07/2023 LQ 20238,8 20238,8"
"Pago título: 2230004251 1113 - PPC SANTANA EQUIPAME 31/07/2023 LQ 223,26 223,26"
"Pago título: 2230004257 1116 - CROWN  EMBALAGENS ME 31/07/2023 LQ 2111,46 2111,46"
"Pago título: 2230004263 1120 - MOTOROLA MOBILITY CO 31/07/2023 LQ 1127,17 1127,17"
"Pago título: 2230004269 1122 - PPC SANTANA EQUIPAME 31/07/2023 LQ 388,99 388,99"
"Pago título: 2230004275 1123 - CIA SANEAMENTO BASIC 31/07/2023 LQ 16853,48 16853,48"
"Pago título: 2230004293 1130 - BRASALIMENT INDUSTRI 31/07/2023 LQ 254,61 254,61"
"Pago título: 2230004305 1136 - VILLARES METALS S/A 31/07/2023 LQ 1898,58 1898,58"
"Pago título: 2230004311 1137 - SICAD DO BRASIL FITA 31/07/2023 LQ 265,81 265,81"
"Pago título: 2230004317 1139 - HOPI HARI S/A 31/07/2023 LQ 720,87 720,87"
"Pago título: 2230004329 1143 - CASTELO ALIMENTOS S/ 31/07/2023 LQ 1336,4 1336,4"
"Pago título: 2230004335 1144 - ASSOCIACAO PROPRIET. 31/07/2023 LQ 365,95 365,95"
"Pago título: 2230004341 1145 - JOBEMA DISTRIBUIDORA 31/07/2023 LQ 1218,78 1218,78"
"Pago título: 2230004377 1193 - TEXTIL CANATIBA LTDA 31/07/2023 LQ 869,22 869,22"
"Pago título: 2230004383 1194 - TEXTIL CANATIBA LTDA 31/07/2023 LQ 2301,54 2301,54"
"Pago título: 2230004389 1195 - TEXTIL CANATIBA LTDA 31/07/2023 LQ 2878,4 2878,4"
"Pago título: 2230004401 1221 - NORQUIMA PRODUTOS QU 31/07/2023 LQ 582,48 582,48"
"Pago título: 2230004413 1231 - COVOLAN INDUSTRIA TE 31/07/2023 LQ 11292,31 11292,31"
"Pago título: 2230004419 1243 - ASSOCIACAO PROPRIETA 31/07/2023 LQ 439,15 439,15"
"Pago título: 2230004431 1249 - ESTANCIA PARQUE ATIB 31/07/2023 LQ 737,06 737,06"
"Pago título: 2230004443 1274 - GUAINUMBY TEXTIL LTD 31/07/2023 LQ 603,81 603,81"
"Pago título: 2230004449 1276 - INDUSTRIA E COMERCIO 31/07/2023 LQ 213,47 213,47"
"Pago título: 2230004455 1289 - ASGA S/A 31/07/2023 LQ 390,33 390,33"
"Pago título: 2230004461 1308 - INDUSTRIA DE BEBIDAS 31/07/2023 LQ 237,14 237,14"
"Pago título: 2230004467 1313 - KIKKOMAN DO BRASIL I 31/07/2023 LQ 352,41 352,41"
"Pago título: 2230004473 1323 - TEXTIL SUCCI LTDA-ME 31/07/2023 LQ 214,3 214,3"
"Pago título: 2230004479 1354 - SILGAN DISPENSING SY 31/07/2023 LQ 503,74 503,74"
"Pago título: 2230004491 1414 - CERVEJARIA ASHBY LTD 31/07/2023 LQ 210,04 210,04"
"Pago título: 2230004509 1420 - MIRVI BRASIL LTDA 31/07/2023 LQ 626,27 626,27"
"Pago título: 2230004515 1423 - TASA TINTURARIA AMER 31/07/2023 LQ 935,16 935,16"
"Pago título: 2230004533 1429 - ASSOCIACAO ADMINISTR 31/07/2023 LQ 990,5 990,5"
"Pago título: 2230004539 1437 - CONDOMINIO EDIFICIO 31/07/2023 LQ 203,87 203,87"
"Pago título: 2230004551 1459 - CIA SANEAMENTO BASIC 31/07/2023 LQ 504,79 504,79"
"Pago título: 2230004557 1465 - BBC INDUSTRIA E COME 31/07/2023 LQ 450,44 450,44"
"Pago título: 2230004563 1477 - JETFIO INDUSTRIA TEX 31/07/2023 LQ 440,09 440,09"
"Pago título: 2230004581 1484 - DELTA INDUSTRIA CERA 31/07/2023 LQ 10926,39 10926,39"
"Pago título: 2230004593 1547 - SOCER BRASIL INDUSTR 31/07/2023 LQ 525,93 525,93"
"Pago título: 2230004611 1567 - RPR CAPTACAO E TRANS 31/07/2023 LQ 1216,9 1216,9"
"Pago título: 2230004623 1591 - TQA INDUSTRIA E COME 31/07/2023 LQ 414,77 414,77"
"Pago título: 2230004629 1592 - MICROSAL INDUSTRIA E 31/07/2023 LQ 990,03 990,03"
"Pago título: 2230004635 1603 - OLIVEIRA & LOPES LTD 31/07/2023 LQ 336,53 336,53"
"Pago título: 2230004641 1609 - GRANITEC IND E COM D 31/07/2023 LQ 285,02 285,02"
"Pago título: 2230004647 1618 - NAZATO PIRACICABA TR 31/07/2023 LQ 510,32 510,32"
"Pago título: 2230004659 1638 - LEITESOL INDUSTRIA E 31/07/2023 LQ 369,09 369,09"
"Pago título: 2230004665 1649 - CONDOMINIO CASA GRAN 31/07/2023 LQ 210,8 210,8"
"Pago título: 2230004671 1652 - RICLAN S/A 31/07/2023 LQ 248,29 248,29"
"Pago título: 2230004695 1689 - AJINOMOTO DO BRASIL 31/07/2023 LQ 609,94 609,94"
"Pago título: 2230004701 1692 - LALLEMAND SOLUCOES B 31/07/2023 LQ 488,63 488,63"
"Pago título: 2230004713 1701 - TINTURARIA E ESTAMPA 31/07/2023 LQ 343,62 343,62"
"Pago título: 2230004737 1743 - EDSON CHINARELLI TRA 31/07/2023 LQ 2615,39 2615,39"
"Pago título: 2230004749 1750 - PREFEITURA MUNICIPAL 31/07/2023 LQ 574,84 574,84"
"Pago título: 2230004779 1813 - MAXLAV LAVANDERIA ES 31/07/2023 LQ 442,77 442,77"
"Pago título: 2230004785 1815 - TRIAGUA TRANSPORTE E 31/07/2023 LQ 1126,14 1126,14"
"Pago título: 2230004791 1818 - MARLES INDUSTRIA TEX 31/07/2023 LQ 1020,69 1020,69"
"Pago título: 2230004797 1829 - NHEEL QUIMICA LTDA 31/07/2023 LQ 1080,02 1080,02"
"Pago título: 2230004803 1830 - SUOMINEN BRASIL INDU 31/07/2023 LQ 333,51 333,51"
"Pago título: 2230004809 1846 - COMPANHIA NACIONAL D 31/07/2023 LQ 713,94 713,94"
"Pago título: 2230004815 1848 - PREFEITURA MUNICIPAL 31/07/2023 LQ 2815,43 2815,43"
"Pago título: 2230004821 1859 - CWS CABLE PARKS LTDA 31/07/2023 LQ 531,43 531,43"
"Pago título: 2230004833 1870 - MALIBER INDUSTRIA E 31/07/2023 LQ 248,87 248,87"
"Pago título: 2230004839 1885 - A PRESS TRANSPORTES 31/07/2023 LQ 281,03 281,03"
"Pago título: 2230004851 1926 - YADOYA INDUSTRIA E C 31/07/2023 LQ 311,36 311,36"
"Pago título: 2230004857 1934 - SSB ENERGIA RENOVAVE 31/07/2023 LQ 1219,86 1219,86"
"Pago título: 2230004887 1979 - QUIMICA AMPARO LTDA 31/07/2023 LQ 829,48 829,48"
"Pago título: 2230004899 1993 - CABLENA DO BRASIL LT 31/07/2023 LQ 256,68 256,68"
"Pago título: 2230004905 2019 - BAERLOCHER DO BRASIL 31/07/2023 LQ 1372,33 1372,33"
"Pago título: 2230004911 2028 - TERMOTECNICA LTDA 31/07/2023 LQ 243,98 243,98"
"Pago título: 2230004917 2047 - ITARARE TRANSPORTE D 31/07/2023 LQ 240,63 240,63"
"Pago título: 2230004923 2069 - TRANSPORTES  21 LTDA 31/07/2023 LQ 234,23 234,23"
"Pago título: 2230004929 2074 - SALTORELLI TINTURARI 31/07/2023 LQ 1157,29 1157,29"
"Pago título: 2230004935 2082 - COLORFLEX ESTAMPARIA 31/07/2023 LQ 256,23 256,23"
"Pago título: 2230004941 2083 - HANIER ESPECIALIDADE 31/07/2023 LQ 476,44 476,44"
"Pago título: 2230004953 2094 - ASSOCIACAO DE PROPRI 31/07/2023 LQ 377,04 377,04"
"Pago título: 2230004965 2114 - MAXLAV LAVANDERIA ES 31/07/2023 LQ 392,77 392,77"
"Pago título: 2230004989 2168 - EMEPE INDUSTRIA GRAF 31/07/2023 LQ 268,36 268,36"
"Pago título: 2230005001 2172 - FARMINA PET FOODS BR 31/07/2023 LQ 416,13 416,13"
"Pago título: 2230005007 2175 - INDUSTRIA E COMERCIO 31/07/2023 LQ 876,24 876,24"
"Pago título: 2230005019 2196 - ASSOCIACAO CIVIL PAR 31/07/2023 LQ 260,44 260,44"
"Pago título: 2230005037 2229 - AUDAX QUIMICA IND E 31/07/2023 LQ 262,53 262,53"
"Pago título: 2230005043 2239 - CERAMICA RAMOS LTDA 31/07/2023 LQ 512,21 512,21"
"Pago título: 2230005061 2284 - AGUA VIDA TRANSPORTE 31/07/2023 LQ 780,72 780,72"
"Pago título: 2230005067 2289 - ADVANCE INDUSTRIA TE 31/07/2023 LQ 3444,24 3444,24"
"Pago título: 2230005073 2293 - BRUNO NICOLETTI TECI 31/07/2023 LQ 283,07 283,07"
"Pago título: 2230005097 2324 - BASF S/A 31/07/2023 LQ 444,98 444,98"
"Pago título: 2230005121 2337 - CERAMICA CARMELO FIO 31/07/2023 LQ 885,96 885,96"
"Pago título: 2230005127 2348 - RAUL FERREIRA LEITE 31/07/2023 LQ 634,32 634,32"
"Pago título: 2230005139 2361 - TECELAGEM JOLITEX LT 31/07/2023 LQ 2288,1 2288,1"
"Pago título: 2230005157 2392 - NEW PARQUE TENIS 31/07/2023 LQ 321,05 321,05"
"Pago título: 2230005163 2407 - FERRASPARI S/A INDUS 31/07/2023 LQ 235,22 235,22"
"Pago título: 2230005169 2410 - COND CENTRO DE LOGIS 31/07/2023 LQ 1336,23 1336,23"
"Pago título: 2230005181 2457 - HYUNDAI MOTOR BRASIL 31/07/2023 LQ 1543,05 1543,05"
"Pago título: 2230005193 2464 - SPARTAN DO BRASIL PR 31/07/2023 LQ 684,6 684,6"
"Pago título: 2230005199 2469 - RICLAN S/A 31/07/2023 LQ 211,51 211,51"
"Pago título: 2230005205 2474 - DE MARCHI INDUSTRIA 31/07/2023 LQ 668,71 668,71"
"Pago título: 2230005211 2478 - ASSOC DOS PROPRIETAR 31/07/2023 LQ 528,64 528,64"
"Pago título: 2230005217 2497 - CARVALHEIRA INDUSTRI 31/07/2023 LQ 3286,38 3286,38"
"Pago título: 2230005223 2528 - MULTILOG BRASIL S.A. 31/07/2023 LQ 219,55 219,55"
"Pago título: 2230005253 2575 - LUBRASIL LUBRIFICANT 31/07/2023 LQ 298,99 298,99"
"Pago título: 2230005265 2590 - DIERBERGER OLEOS ESS 31/07/2023 LQ 555,02 555,02"
"Pago título: 2230005277 2653 - TANQUE MATERIAS PARA 31/07/2023 LQ 219,21 219,21"
"Pago título: 2230005301 2684 - ANTONIO SERGIO LEITE 31/07/2023 LQ 487,92 487,92"
"Pago título: 2230005307 2686 - BOM PEIXE INDUSTRIA 31/07/2023 LQ 226,77 226,77"
"Pago título: 2230005313 2687 - ROTOCROM INDUSTRIA E 31/07/2023 LQ 203,78 203,78"
"Pago título: 2230005337 2740 - EUCATEX INDUSTRIA E 31/07/2023 LQ 1406,42 1406,42"
"Pago título: 2230005343 2745 - CONDOMINIO DO SHOPPI 31/07/2023 LQ 380,82 380,82"
"Pago título: 2230005355 2748 - QUALITY BENEFICIADOR 31/07/2023 LQ 636,26 636,26"
"Pago título: 2230005361 2750 - SERVICO AUTONOMO DE 31/07/2023 LQ 1664,02 1664,02"
"Pago título: 2230005379 2773 - SOCIEDADE DE ARMAZEN 31/07/2023 LQ 470,15 470,15"
"Pago título: 2230005385 2776 - KARINA PISOS E REVES 31/07/2023 LQ 351,32 351,32"
"Pago título: 2230005403 2814 - REAL INDUSTRIA E COM 31/07/2023 LQ 339,33 339,33"
"Pago título: 2230005409 2861 - KORIN AGROPECUARIA L 31/07/2023 LQ 2407,5 2407,5"
"Pago título: 2230005415 2881 - SERVICO DE AGUA E ES 31/07/2023 LQ 243,98 243,98"
"Pago título: 2230005421 2889 - I & M PAPEIS E EMBAL 31/07/2023 LQ 617,91 617,91"
"Pago título: 2230005439 2906 - TRANSPORTADORA H2O L 31/07/2023 LQ 483,04 483,04"
"Pago título: 2230005445 2910 - CHACARAS LONG ISLAND 31/07/2023 LQ 877,14 877,14"
"Pago título: 2230005457 2935 - CERAMICA ALMEIDA LTD 31/07/2023 LQ 219,55 219,55"
"Pago título: 2230005463 2943 - VTR VETOR EQUIPAMENT 31/07/2023 LQ 202,94 202,94"
"Pago título: 2230005475 2952 - EXTRACAO E COMERCIO 31/07/2023 LQ 593,89 593,89"
"Pago título: 2230005481 2956 - CENTER GIRO TRANSPOR 31/07/2023 LQ 287,25 287,25"
"Pago título: 2230005505 2981 - VIVA PISOS E REVESTI 31/07/2023 LQ 512,34 512,34"
"Pago título: 2230005511 2988 - K & G INDUSTRIA E CO 31/07/2023 LQ 268,64 268,64"
"Pago título: 2230005517 3022 - BORGWARNER BRASIL LT 31/07/2023 LQ 200,18 200,18"
"Pago título: 2230005529 3032 - CONDOMINIO VILLAGE S 31/07/2023 LQ 717,27 717,27"
"Pago título: 2230005535 3048 - TOSCANA DESENVOLVIME 31/07/2023 LQ 241,08 241,08"
"Pago título: 2230005536 3048 - TOSCANA DESENVOLVIME 31/08/2023 LQ 241,08 241,08"
"Pago título: 2230005537 3048 - TOSCANA DESENVOLVIME 29/09/2023 LQ 241,08 241,08"
"Pago título: 2230005538 3048 - TOSCANA DESENVOLVIME 31/10/2023 LQ 241,08 241,08"
"Pago título: 2230005539 3048 - TOSCANA DESENVOLVIME 30/11/2023 LQ 241,08 241,08"
"Pago título: 2230005540 3048 - TOSCANA DESENVOLVIME 22/12/2023 LQ 241,08 241,08"
"Pago título: 2230005541 3053 - JR GOMES IMOBILIARIA 31/07/2023 LQ 317,14 317,14"
"Pago título: 2230005547 3059 - VIC 01 SBO EMPREENDI 31/07/2023 LQ 243,12 243,12"
"Pago título: 2230005571 3094 - RENATO PASSARIN & FI 31/07/2023 LQ 243,96 243,96"
"Pago título: 2230005577 3097 - CISOL DO BRASIL EXPO 31/07/2023 LQ 268,97 268,97"
"Pago título: 2230005583 3107 - RUY R. DA ROCHA PROD 31/07/2023 LQ 292,75 292,75"
"Pago título: 2230005589 3111 - BRASWELL PAPEL E CEL 31/07/2023 LQ 1319,79 1319,79"
"Pago título: 2230005595 3119 - FDC - EMPREENDIMENTO 31/07/2023 LQ 758,88 758,88"
"Pago título: 2230005601 3124 - BARREIRENSE PRODUTOS 31/07/2023 LQ 219,55 219,55"
"Pago título: 2230005619 3160 - VIA APPIA FESTAS E E 31/07/2023 LQ 219,59 219,59"
"Pago título: 2230005625 3163 - RESIDENCIAL FAZENDA 31/07/2023 LQ 473,61 473,61"
"Pago título: 2230005637 3196 - CEDASA INDUSTRIA E C 31/07/2023 LQ 951,51 951,51"
"Pago título: 2230005643 3212 - PEDREIRA NOGUEIRENSE 31/07/2023 LQ 243,98 243,98"
"Pago título: 2230005655 3221 - LIMEIRENSE FERTILIZA 31/07/2023 LQ 485,73 485,73"
"Pago título: 2230005685 3310 - ELDER COSTA RODRIGUE 31/07/2023 LQ 1083,68 1083,68"
"Pago título: 2230005703 3333 - AUREO ALESSANDRO DA 31/07/2023 LQ 583,77 583,77"
"Pago título: 2230005709 3336 - CONDOMINIO RESIDENCI 31/07/2023 LQ 384,78 384,78"
"Pago título: 2230005715 3345 - SAO PAULO SECRETARIA 31/07/2023 LQ 909,97 909,97"
"Pago título: 2230005721 3352 - CP KELCO BRASIL S/A 31/07/2023 LQ 338,32 338,32"
"Pago título: 2230005727 3365 - MALIBER INDUSTRIA E 31/07/2023 LQ 555,65 555,65"
"Pago título: 2230005733 3366 - TECHIMPORT TECNOLOGI 31/07/2023 LQ 386,61 386,61"
"Pago título: 2230005751 3379 - SSB ENERGIA RENOVAVE 31/07/2023 LQ 4887,44 4887,44"
"Pago título: 2230005769 3384 - FRIGODELISS LTDA 31/07/2023 LQ 2735,96 2735,96"
"Pago título: 2230005781 3397 - PREFEITURA MUNICIPAL 31/07/2023 LQ 332,66 332,66"
"Pago título: 2230005793 3413 - TUIUTI ECO PARK EMPR 31/07/2023 LQ 603,34 603,34"
"Pago título: 2230005799 3423 - A. A. DE MELO & CIA 31/07/2023 LQ 240,5 240,5"
"Pago título: 2230005805 3439 - CSHG REAL ESTATE FUN 31/07/2023 LQ 439,15 439,15"
"Pago título: 2230005817 3449 - CERAMICA CARMELO FIO 31/07/2023 LQ 975,89 975,89"
"Pago título: 2230005823 3453 - CERAMICA SAVANE LTDA 31/07/2023 LQ 533,99 533,99"
"Pago título: 2230005835 3471 - ALTO DA COLINA VERDE 31/07/2023 LQ 337,17 337,17"
"Pago título: 2230005847 3480 - MEDI HOUSE IND E COM 31/07/2023 LQ 388,1 388,1"
"Pago título: 2230005853 3491 - H2ORA DISTRIBUIDORA 31/07/2023 LQ 1232,13 1232,13"
"Pago título: 2230005859 3514 - CERAMICA GRESCA G3 L 31/07/2023 LQ 351,32 351,32"
"Pago título: 2230005865 3516 - JOSE JORGE BERARDINE 31/07/2023 LQ 214,67 214,67"
"Pago título: 2230005871 3535 - JOFEGE FIACAO E TECE 31/07/2023 LQ 1778,71 1778,71"
"Pago título: 2230005901 3594 - CPM CONCRETO DE PRE 31/07/2023 LQ 218,06 218,06"
"Pago título: 2230005907 3600 - RENAN SOUZA SPINA ME 31/07/2023 LQ 231,74 231,74"
"Pago título: 2230005913 3606 - ANTONIO CHAVES DOS S 31/07/2023 LQ 245,69 245,69"
"Pago título: 2230005919 3616 - CONCREMIX S/A 31/07/2023 LQ 230,46 230,46"
"Pago título: 2230005925 3622 - CONDOMINIO CAPELA DO 31/07/2023 LQ 977,8 977,8"
"Pago título: 2230005955 3662 - ASSOCIACAO RESIDENCI 31/07/2023 LQ 822,17 822,17"
"Pago título: 2230005961 3666 - RAUL FERREIRA LEITE 31/07/2023 LQ 561,11 561,11"
"Pago título: 2230005979 3679 - CMR INDUSTRIA E COME 31/07/2023 LQ 343,76 343,76"
"Pago título: 2230005985 3683 - NOVAPORCELANATO INDU 31/07/2023 LQ 1317,45 1317,45"
"Pago título: 2230006009 3704 - I.S. COMERCIO DE AGU 31/07/2023 LQ 373,27 373,27"
"Pago título: 2230006015 3720 - J.L. PAULO & CIA LTD 31/07/2023 LQ 295,84 295,84"
"Pago título: 2230006045 3851 - USINA GRANELLI LTDA. 31/07/2023 LQ 2124,91 2124,91"
"Pago título: 2230006051 3853 - MONTE COR PROTECAO D 31/07/2023 LQ 221,23 221,23"
"Pago título: 2230006075 3899 - ASSOCIACAO RESIDENCI 31/07/2023 LQ 771,99 771,99"
"Pago título: 2230006099 3954 - MARCO ANTONIO TONOLI 31/07/2023 LQ 487,92 487,92"
"Pago título: 2230006117 3992 - HOTEL FAZENDA HARAS 31/07/2023 LQ 570,87 570,87"
"Pago título: 2230006135 4059 - ATI GEL FRUTAS CONGE 31/07/2023 LQ 274,11 274,11"
"Pago título: 2230006141 4116 - TARTALIA EMPREENDIME 31/07/2023 LQ 634,31 634,31"
"Pago título: 2230006183 4288 - PTM AGRICOLA E PARTI 31/07/2023 LQ 629,05 629,05"
"Pago título: 2230006189 4315 - AGE DO BRASIL INDUST 31/07/2023 LQ 234,23 234,23"
"Pago título: 2230006195 4330 - CPD LOCADORA DE VEIC 31/07/2023 LQ 1463,85 1463,85"
"Pago título: 2230006201 4356 - CONDOMINIO RESIDENCI 31/07/2023 LQ 292,75 292,75"
"Pago título: 2230006213 4361 - RAUL FERREIRA LEITE 31/07/2023 LQ 536,73 536,73"
"Pago título: 2230006219 4385 - MATEUS CAVALCANTI IZ 31/07/2023 LQ 317,14 317,14"
"Pago título: 2230006225 4477 - LAZARO FERNANDES PER 31/07/2023 LQ 207,86 207,86"
"Pago título: 2230006231 4479 - PERFORM PARTICIPACOE 31/07/2023 LQ 263,22 263,22"
"Pago título: 2230006237 4481 - CLARIPEL INDUSTRIA D 31/07/2023 LQ 1621,68 1621,68"
"Pago título: 2230006243 4485 - PARQUE DOS EUCALIPTO 31/07/2023 LQ 287,66 287,66"
"Pago título: 2230006261 4519 - IVO ZARZUR ADMINISTR 31/07/2023 LQ 11083,47 11083,47"
"Pago título: 2230006267 4556 - ASSOCIACAO DE MELHOR 31/07/2023 LQ 496,02 496,02"
"Pago título: 2230006273 4580 - ASSOCIACAO DOS PROPR 31/07/2023 LQ 967,51 967,51"
"Pago título: 2230006285 4600 - ALMEIDA PISOS E REVE 31/07/2023 LQ 365,95 365,95"
"Pago título: 2230006297 4631 - AGROPECUARIA CAPUAVA 31/07/2023 LQ 487,92 487,92"
"Pago título: 2230006333 4697 - MARFRIG GLOBAL FOODS 31/07/2023 LQ 592,13 592,13"
"Pago título: 2230006357 4779 - FUNDACAO CENTRO DE A 31/07/2023 LQ 501,11 501,11"
"Pago título: 2230006363 4783 - CORREIAS MERCURIO S/ 31/07/2023 LQ 284 284"
"Pago título: 2230006381 4827 - BOM PEIXE INDUSTRIA 31/07/2023 LQ 312,26 312,26"
"Pago título: 2230006387 4829 - CLUBE RECREATIVO SUM 31/07/2023 LQ 221,99 221,99"
"Pago título: 2230006399 4840 - CIALENE INDUSTRIA E 31/07/2023 LQ 219,55 219,55"
"Pago título: 2230006405 4862 - PSS DE CAMARGO SERVI 31/07/2023 LQ 585,55 585,55"
"Pago título: 2230006411 4869 - ASSOCIACAO DOS MORAD 31/07/2023 LQ 395,21 395,21"
"Pago título: 2230006429 4891 - LOTEAMENTO IMPERIAL 31/07/2023 LQ 975,88 975,88"
"Pago título: 2230006483 5050 - CIA DE SANEAMENTO BA 31/07/2023 LQ 6052,07 6052,07"
"Pago título: 2230006489 5076 - CLUBE DE CAMPO FAZEN 31/07/2023 LQ 2156,72 2156,72"
"Pago título: 2230006507 5161 - MISTER GELO IND. DE 31/07/2023 LQ 360,35 360,35"
"Pago título: 2230006543 5303 - ASSOCIACAO DOS MORAD 31/07/2023 LQ 263,49 263,49"
"Pago título: 2230006561 5323 - ERCA INDUSTRIA E COM 31/07/2023 LQ 397,91 397,91"
"Pago título: 2230006573 5355 - CIA DE SANEAMENTO BA 31/07/2023 LQ 9396,36 9396,36"
"Pago título: 2230006609 5416 - ZARAPLAST S.A 31/07/2023 LQ 795,37 795,37"
"Pago título: 2230006633 5442 - ASSOCIACAO DOS PROPR 31/07/2023 LQ 288,35 288,35"
"Pago título: 2230006645 5449 - CONDOMINIO HOTEL INT 31/07/2023 LQ 234,23 234,23"
"Pago título: 2230006663 5486 - ASSOCIACAO DO BRAGAN 31/07/2023 LQ 225,88 225,88"
"Pago título: 2230006675 5491 - BREW CENTER CERVEJAS 31/07/2023 LQ 240,94 240,94"
"Pago título: 2230006681 5492 - BUONO GEL INDUSTRIA 31/07/2023 LQ 243,98 243,98"
"Pago título: 2230006687 5514 - AGUAS DO MIRANTE 31/07/2023 LQ 2246,94 2246,94"
