"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442913006202114245.ret"
""
"Cadastrado título novo: 9000006225 4046 - PAULO CESAR RODRIGUE 30/07/2021 RG 1031,89 0"
"Cadastrado título novo: 9000006226 6793 - SUPERMERCADOS DALBEN 30/07/2021 RG 451,11 0"
"Cadastrado título novo: 9000006227 1028 - CONDOMINIO EDIFICIO 30/07/2021 RG 457,55 0"
"Cadastrado título novo: 9000006228 3991 - HIGIBRAG TRANSPORTE 30/07/2021 RG 731,14 0"
"Cadastrado título novo: 9000006229 2688 - ARYZTA DO BRASIL ALI 30/07/2021 RG 334,93 0"
"Cadastrado título novo: 9000006230 3701 - ASSOCIACAO DE SOCIOS 30/07/2021 RG 1256,58 0"
"Cadastrado título novo: 9000006231 1935 - MINERGUITA MINERACAO 30/07/2021 RG 495,9 0"
"Cadastrado título novo: 9000006232 3229 - PLASTCOR DO BRASIL L 30/07/2021 RG 319,67 0"
"Pago título: 2118000411 237 - IPLASA - INDUSTRIA E 30/06/2021 LQ 439,15 439,15"
"Pago título: 2118000427 244 - CONFIBRA INDUSTRIA E 30/06/2021 LQ 642,28 642,28"
"Pago título: 2118000451 257 - PASTIFICIO SELMI S/A 30/06/2021 LQ 1856,96 1856,96"
"Pago título: 2118000459 262 - IND STRIA CAMPINEIRA 30/06/2021 LQ 296,43 296,43"
"Pago título: 2118000467 265 - ADERE PRODUTOS AUTO- 30/06/2021 LQ 391,04 391,04"
"Pago título: 2118000475 281 - BIO SPRINGER DO BRAS 30/06/2021 LQ 852,31 852,31"
"Pago título: 2118000483 293 - OMAMORI INDUSTRIA DE 30/06/2021 LQ 304,31 304,31"
"Pago título: 2118000499 312 - FIACAO ALPINA LTDA 30/06/2021 LQ 796,39 796,39"
"Pago título: 2118000507 319 - AGROPECUARIA SANTA R 30/06/2021 LQ 202,19 202,19"
"Pago título: 2118000515 324 - DEDINI S/A INDUSTRIA 30/06/2021 LQ 643,93 643,93"
"Pago título: 2118000523 332 - CBR BRANDS IND STRIA 30/06/2021 LQ 3112,03 3112,03"
"Pago título: 2118000531 335 - ANTONIO BORIN SA IND 30/06/2021 LQ 404,31 404,31"
"Pago título: 2118000539 342 - IPE AGRO AVICOLA LTD 30/06/2021 LQ 388,4 388,4"
"Pago título: 2118000547 349 - SOBAM CENTRO MEDICO 30/06/2021 LQ 397,58 397,58"
"Pago título: 2118000555 356 - ESTANCIA ARVORE DA V 30/06/2021 LQ 529,97 529,97"
"Pago título: 2118000563 357 - CONDOMINIO VILLE DE 30/06/2021 LQ 1443,18 1443,18"
"Pago título: 2118000571 358 - ASSOCIA  O AMIGOS MA 30/06/2021 LQ 1219,29 1219,29"
"Pago título: 2118000579 371 - CONDOMINIO ITAEMBU 30/06/2021 LQ 606,58 606,58"
"Pago título: 2118000587 372 - ASSOCIACAO MORAD PRO 30/06/2021 LQ 1282,68 1282,68"
"Pago título: 2118000595 375 - CAPUAVA S/A INDUSTRI 30/06/2021 LQ 816,36 816,36"
"Pago título: 2118000603 383 - EATON LTDA 30/06/2021 LQ 992,53 992,53"
"Pago título: 2118000611 390 - TOYOBO DO BRASIL LTD 30/06/2021 LQ 631,23 631,23"
"Pago título: 2118000619 400 - FRICOCK FRIGORIFICAC 30/06/2021 LQ 955,47 955,47"
"Pago título: 2118000643 417 - EMBRAMACO EMPRESA BR 30/06/2021 LQ 2751,87 2751,87"
"Pago título: 2118000659 426 - RUY R. DA ROCHA PROD 30/06/2021 LQ 329,36 329,36"
"Pago título: 2118000667 432 - ASSOCIACAO PROPRIETA 30/06/2021 LQ 458,45 458,45"
"Pago título: 2118000675 434 - KSPG AUTOMOTIVE BRAZ 30/06/2021 LQ 812,13 812,13"
"Pago título: 2118000691 449 - ASSOCIA  O PRO AGUA 30/06/2021 LQ 801,91 801,91"
"Pago título: 2118000707 455 - TBK MINERA  O LTDA 30/06/2021 LQ 651,45 651,45"
"Pago título: 2118000715 461 - J.R.M. - PARTICIPACO 30/06/2021 LQ 745,86 745,86"
"Pago título: 2118000723 476 - CLUBE DE CAMPO VALIN 30/06/2021 LQ 1920,76 1920,76"
"Pago título: 2118000739 480 - PAPIRUS INDUSTRIA DE 30/06/2021 LQ 2663,74 2663,74"
"Pago título: 2118000747 482 - TAVARES PINHEIRO IND 30/06/2021 LQ 530,64 530,64"
"Pago título: 2118000755 487 - USINA ACUCAREIRA EST 30/06/2021 LQ 22937,57 22937,57"
"Pago título: 2118000763 490 - SAINT-GOBAIN DO BRAS 30/06/2021 LQ 1050,82 1050,82"
"Pago título: 2118000771 491 - CATERPILLAR BRASIL L 30/06/2021 LQ 501,22 501,22"
"Pago título: 2118000779 497 -  LCOOL FERREIRA S/A 30/06/2021 LQ 643,18 643,18"
"Pago título: 2118000787 499 - SPAL INDUSTRIA BRASI 30/06/2021 LQ 2917,24 2917,24"
"Pago título: 2118000795 500 - BIGNARDI IND E COM D 30/06/2021 LQ 5302,68 5302,68"
"Pago título: 2118000803 503 - FLAMBOI  ALIMENTOS L 30/06/2021 LQ 661,27 661,27"
"Pago título: 2118000811 505 - ASSOCIACAO AMIGOS DO 30/06/2021 LQ 1120,48 1120,48"
"Pago título: 2118000819 507 - TINTURARIA UNIVERSO 30/06/2021 LQ 1622,14 1622,14"
"Pago título: 2118000835 529 - OWENS CORNING FIBERG 30/06/2021 LQ 2940,25 2940,25"
"Pago título: 2118000867 559 - BENEFICIADORA DE TEC 30/06/2021 LQ 874,66 874,66"
"Pago título: 2118000875 585 - TEKA - TECELAGEM KUE 30/06/2021 LQ 1618,73 1618,73"
"Pago título: 2118000891 821 - PREFEITURA MUNICIPAL 30/06/2021 LQ 3917,49 3917,49"
"Pago título: 2118000907 824 - UNIVERSIDADE DE SAO 30/06/2021 LQ 947,87 947,87"
"Pago título: 2118000931 829 - SERVICO AUT NOMO DE 30/06/2021 LQ 9435,57 9435,57"
"Pago título: 2118000939 831 - DEPARTAMENTO DE  GUA 30/06/2021 LQ 31800,05 31800,05"
"Pago título: 2118000963 842 - REGIMAR COMERCIAL S/ 30/06/2021 LQ 1957,2 1957,2"
"Pago título: 2118000971 844 - COIM BRASIL LTDA 30/06/2021 LQ 417,84 417,84"
"Pago título: 2118000979 845 - THYSSENKRUPP METALUR 30/06/2021 LQ 3874,04 3874,04"
"Pago título: 2118000987 851 - KROMBERG & SCHUBERT 30/06/2021 LQ 276,84 276,84"
"Pago título: 2118000995 852 - ECOFABRIL INDUSTRIA 30/06/2021 LQ 278,25 278,25"
"Pago título: 2118001003 855 - LOG & PRINT GR FICA 30/06/2021 LQ 212,62 212,62"
"Pago título: 2118001019 857 - CPIC BRASIL FIBRAS D 30/06/2021 LQ 2603,14 2603,14"
"Pago título: 2118001027 861 - HUDTELFA TEXTILE TEC 30/06/2021 LQ 672,03 672,03"
"Pago título: 2118001035 863 - SENPAR TERRAS DE S O 30/06/2021 LQ 892,67 892,67"
"Pago título: 2118001051 868 - PREFEITURA MUNICIPAL 30/06/2021 LQ 2470,93 2470,93"
"Pago título: 2118001067 882 - SERVI O AUT NOMO DE 30/06/2021 LQ 117153,09 117153,09"
"Pago título: 2118001075 885 - CP KELCO BRASIL S/A 30/06/2021 LQ 6754,61 6754,61"
"Pago título: 2118001091 888 - INCOPISOS INDUSTRIA 30/06/2021 LQ 1154,67 1154,67"
"Pago título: 2118001099 891 - TIMAVO DO BRASIL S/A 30/06/2021 LQ 3125,55 3125,55"
"Pago título: 2118001107 892 - A. AZEVEDO INDUSTRIA 30/06/2021 LQ 484,19 484,19"
"Pago título: 2118001115 895 - FRIGORIFICO ANGELELL 30/06/2021 LQ 1559,67 1559,67"
"Pago título: 2118001123 896 - PREFEITURA MUNICIPAL 30/06/2021 LQ 2040,84 2040,84"
"Pago título: 2118001131 898 - SERVICO MUNICIPAL DE 30/06/2021 LQ 162334,71 162334,71"
"Pago título: 2118001147 903 - MINASA TRADING INTER 30/06/2021 LQ 1167,86 1167,86"
"Pago título: 2118001163 909 - FLEX PARQUE EMPRESAR 30/06/2021 LQ 700,82 700,82"
"Pago título: 2118001179 919 - COMPANHIA DE DESENVO 30/06/2021 LQ 32951,79 32951,79"
"Pago título: 2118001187 920 - ELEKEIROZ S/A 30/06/2021 LQ 8353,12 8353,12"
"Pago título: 2118001195 923 - EMS S/A 30/06/2021 LQ 1139,86 1139,86"
"Pago título: 2118001211 930 - SERVICO AUTONOMO DE 30/06/2021 LQ 36611,59 36611,59"
"Pago título: 2118001219 931 - CENTRO CULTURAL E RE 30/06/2021 LQ 309,17 309,17"
"Pago título: 2118001227 932 - GREMIO RECR EMPREGAD 30/06/2021 LQ 566,6 566,6"
"Pago título: 2118001235 938 - MIRACEMA NUODEX INDU 30/06/2021 LQ 349,2 349,2"
"Pago título: 2118001243 939 - LEF PISOS E REVESTIM 30/06/2021 LQ 769,96 769,96"
"Pago título: 2118001259 941 - RAIZEN ENERGIA S/A 30/06/2021 LQ 16893,22 16893,22"
"Pago título: 2118001283 944 - PREFEITURA MUNICIPAL 30/06/2021 LQ 21344,03 21344,03"
"Pago título: 2118001291 946 - HOTEL CAMPING ESTANC 30/06/2021 LQ 746,56 746,56"
"Pago título: 2118001299 948 - QUINTA DA BARONEZA G 30/06/2021 LQ 2911,56 2911,56"
"Pago título: 2118001323 955 - PREFEITURA DO MUNIC 30/06/2021 LQ 1152,66 1152,66"
"Pago título: 2118001331 959 - ASK PRODUTOS QUIMICO 30/06/2021 LQ 216,52 216,52"
"Pago título: 2118001339 962 - SAO MARTINHO S.A. 30/06/2021 LQ 33958,94 33958,94"
"Pago título: 2118001347 965 - IGARATIBA INDUSTRIA 30/06/2021 LQ 287,63 287,63"
"Pago título: 2118001355 966 - SERVICO DE AGUA E ES 30/06/2021 LQ 23635,42 23635,42"
"Pago título: 2118001371 976 - SOCIEDADE DE ABASTEC 30/06/2021 LQ 23493,63 23493,63"
"Pago título: 2118001379 978 - CHEM-TREND IND E COM 30/06/2021 LQ 496,95 496,95"
"Pago título: 2118001387 981 - PIRACAIA IND E COM E 30/06/2021 LQ 753,96 753,96"
"Pago título: 2118001395 985 - CONDOMINIO FAZENDA D 30/06/2021 LQ 293,18 293,18"
"Pago título: 2118001427 1000 - CIA SANEAMENTO BASI 30/06/2021 LQ 16405,88 16405,88"
"Pago título: 2118001435 1001 - CIA SANEAMENTO BASI 30/06/2021 LQ 843,24 843,24"
"Pago título: 2118001443 1002 - CIA SANEAMENTO BASI 30/06/2021 LQ 1360,24 1360,24"
"Pago título: 2118001451 1004 - BRANYL COMERCIO E I 30/06/2021 LQ 1039,39 1039,39"
"Pago título: 2118001467 1033 - CCS TECNOLOGIA E SE 30/06/2021 LQ 223,52 223,52"
"Pago título: 2118001475 1035 - RAIZEN ENERGIA S/A 30/06/2021 LQ 22799,43 22799,43"
"Pago título: 2118001491 1047 - QUIMICA AMPARO LTDA 30/06/2021 LQ 5224,9 5224,9"
"Pago título: 2118001507 1050 - CIA SANEAMENTO BASI 30/06/2021 LQ 511,69 511,69"
"Pago título: 2118001515 1052 - DEPARTAMENTO DE  GU 30/06/2021 LQ 4541,51 4541,51"
"Pago título: 2118001523 1055 - CARTONIFICIO VALINH 30/06/2021 LQ 1388,88 1388,88"
"Pago título: 2118001531 1057 - CIA SANEAMENTO BASI 30/06/2021 LQ 36982,34 36982,34"
"Pago título: 2118001539 1058 - CIA SANEAMENTO BASI 30/06/2021 LQ 4362,4 4362,4"
"Pago título: 2118001547 1060 - CIA SANEAMENTO BASI 30/06/2021 LQ 4566,64 4566,64"
"Pago título: 2118001555 1063 - CIA SANEAMENTO BASI 30/06/2021 LQ 2859,79 2859,79"
"Pago título: 2118001563 1064 - CIA SANEAMENTO BASI 30/06/2021 LQ 9707,52 9707,52"
"Pago título: 2118001571 1065 - CIA SANEAMENTO BASI 30/06/2021 LQ 5801,77 5801,77"
"Pago título: 2118001579 1067 - CIA SANEAMENTO BASI 30/06/2021 LQ 6538,48 6538,48"
"Pago título: 2118001587 1070 - CIA SANEAMENTO BASI 30/06/2021 LQ 4655,64 4655,64"
"Pago título: 2118001595 1073 - CIA SANEAMENTO BASI 30/06/2021 LQ 8343,9 8343,9"
"Pago título: 2118001603 1074 - CIA SANEAMENTO BASI 30/06/2021 LQ 844,45 844,45"
"Pago título: 2118001611 1075 - TINTEX TINTURARIA T 30/06/2021 LQ 222,59 222,59"
"Pago título: 2118001619 1078 - DAE S/A  GUA E ESGO 30/06/2021 LQ 101943,34 101943,34"
"Pago título: 2118001635 1084 - COMPANHIA DE SANEAM 30/06/2021 LQ 14269,47 14269,47"
"Pago título: 2118001643 1086 - ENGENHO SAO PEDRO A 30/06/2021 LQ 1612 1612"
"Pago título: 2118001651 1087 - TOYOTA DO BRASIL LT 30/06/2021 LQ 1333,39 1333,39"
"Pago título: 2118001659 1090 - CITROSUCO S/A AGROI 30/06/2021 LQ 1716,94 1716,94"
"Pago título: 2118001675 1096 - USINA ACUCAREIRA FU 30/06/2021 LQ 3546,69 3546,69"
"Pago título: 2118001683 1103 - ASSOCIACAO FAZENDA 30/06/2021 LQ 687,22 687,22"
"Pago título: 2118001699 1110 - SERVICO AUTONOMO DE 30/06/2021 LQ 3684,15 3684,15"
"Pago título: 2118001707 1111 - CIA SANEAMENTO BASI 30/06/2021 LQ 410433,13 410433,13"
"Pago título: 2118001715 1112 - CIA SANEAMENTO BASI 30/06/2021 LQ 23029,06 23029,06"
"Pago título: 2118001723 1116 - CROWN  EMBALAGENS M 30/06/2021 LQ 1530,5 1530,5"
"Pago título: 2118001739 1122 - PPC SANTANA EQUIPAM 30/06/2021 LQ 291,74 291,74"
"Pago título: 2118001747 1123 - CIA SANEAMENTO BASI 30/06/2021 LQ 21391,91 21391,91"
"Pago título: 2118001779 1136 - VILLARES METALS S/A 30/06/2021 LQ 1423,95 1423,95"
"Pago título: 2118001795 1140 - VIA VAREJO S/A 30/06/2021 LQ 301,06 301,06"
"Pago título: 2118001803 1143 - CASTELO ALIMENTOS S 30/06/2021 LQ 695,34 695,34"
"Pago título: 2118001811 1144 - ASSOCIACAO PROPRIET 30/06/2021 LQ 274,47 274,47"
"Pago título: 2118001843 1154 - GREENBRIER MAXION E 30/06/2021 LQ 444,23 444,23"
"Pago título: 2118001859 1169 - MINERACAO JUNDU LTD 30/06/2021 LQ 12383,46 12383,46"
"Pago título: 2118001867 1193 - TEXTIL CANATIBA LTD 30/06/2021 LQ 780,38 780,38"
"Pago título: 2118001875 1194 - TEXTIL CANATIBA LTD 30/06/2021 LQ 1726,14 1726,14"
"Pago título: 2118001883 1195 - TEXTIL CANATIBA LTD 30/06/2021 LQ 1300,15 1300,15"
"Pago título: 2118001899 1221 - NORQUIMA PRODUTOS Q 30/06/2021 LQ 298,7 298,7"
"Pago título: 2118001931 1243 - ASSOCIACAO PROPRIET 30/06/2021 LQ 329,36 329,36"
"Pago título: 2118001955 1266 - ASSOCIA  O COMUNIT 30/06/2021 LQ 247,02 247,02"
"Pago título: 2118001963 1274 - GUAINUMBY TEXTIL LT 30/06/2021 LQ 452,85 452,85"
"Pago título: 2118001979 1313 - AZUMA KIRIN IND STR 30/06/2021 LQ 268,75 268,75"
"Pago título: 2118001987 1323 - TEXTIL SUCCI LTDA-M 30/06/2021 LQ 284,65 284,65"
"Pago título: 2118002003 1405 - ASSOCIACAO LOTEAMEN 30/06/2021 LQ 3204,93 3204,93"
"Pago título: 2118002011 1414 - CERVEJARIA ASHBY LT 30/06/2021 LQ 222,64 222,64"
"Pago título: 2118002019 1417 - IND STRIA DE PRODUT 30/06/2021 LQ 222,42 222,42"
"Pago título: 2118002027 1420 - MIRVI BRASIL LTDA 30/06/2021 LQ 335,43 335,43"
"Pago título: 2118002035 1423 - TASA TINTURARIA AME 30/06/2021 LQ 701,36 701,36"
"Pago título: 2118002043 1425 - TRANSPORTE E COMERC 30/06/2021 LQ 314,72 314,72"
"Pago título: 2118002051 1429 - ASSOCIACAO ADMINIST 30/06/2021 LQ 742,9 742,9"
"Pago título: 2118002067 1456 - ASSOC DOS PROP DO L 30/06/2021 LQ 347,66 347,66"
"Pago título: 2118002075 1459 - CIA SANEAMENTO BASI 30/06/2021 LQ 3140,21 3140,21"
"Pago título: 2118002083 1465 - BBC INDUSTRIA E COM 30/06/2021 LQ 311,76 311,76"
"Pago título: 2118002091 1477 - JETFIO INDUSTRIA TE 30/06/2021 LQ 316,68 316,68"
"Pago título: 2118002107 1484 - DELTA INDUSTRIA CER 30/06/2021 LQ 8194,81 8194,81"
"Pago título: 2118002123 1547 - SOCER BRASIL INDUST 30/06/2021 LQ 570,6 570,6"
"Pago título: 2118002139 1564 - IND STRIA E COM RCI 30/06/2021 LQ 217,55 217,55"
"Pago título: 2118002147 1567 - RPR CAPTACAO E TRAN 30/06/2021 LQ 912,66 912,66"
"Pago título: 2118002163 1591 - TQA INDUSTRIA E COM 30/06/2021 LQ 311,07 311,07"
"Pago título: 2118002171 1592 - MICROSAL INDUSTRIA 30/06/2021 LQ 1164,8 1164,8"
"Pago título: 2118002179 1603 - OLIVEIRA & LOPES LT 30/06/2021 LQ 219,74 219,74"
"Pago título: 2118002187 1609 - GRANITEC IND E COM 30/06/2021 LQ 214,35 214,35"
"Pago título: 2118002195 1618 - NAZATO PIRACICABA T 30/06/2021 LQ 356,68 356,68"
"Pago título: 2118002211 1638 - LEITESOL INDUSTRIA 30/06/2021 LQ 764,29 764,29"
"Pago título: 2118002219 1666 - VOTORANTIM CIMENTOS 30/06/2021 LQ 334,9 334,9"
"Pago título: 2118002227 1675 - ASSOCIACAO DOS MORA 30/06/2021 LQ 315,7 315,7"
"Pago título: 2118002235 1676 - CASSOL PRE  FABRICA 30/06/2021 LQ 281,54 281,54"
"Pago título: 2118002251 1695 - GOODYEAR DO BRASIL 30/06/2021 LQ 9317,64 9317,64"
"Pago título: 2118002259 1701 - TINTURARIA E ESTAMP 30/06/2021 LQ 257,73 257,73"
"Pago título: 2118002275 1713 - JACOBS DOUWE EGBERT 30/06/2021 LQ 309,24 309,24"
"Pago título: 2118002307 1789 - CENTRAIS DE ABASTEC 30/06/2021 LQ 775,52 775,52"
"Pago título: 2118002323 1813 - MAXLAV LAVANDERIA E 30/06/2021 LQ 332,09 332,09"
"Pago título: 2118002347 1818 - MARLES INDUSTRIA TE 30/06/2021 LQ 765,51 765,51"
"Pago título: 2118002355 1829 - NHEEL QUIMICA LTDA 30/06/2021 LQ 347,66 347,66"
"Pago título: 2118002371 1846 - COMPANHIA NACIONAL 30/06/2021 LQ 819,09 819,09"
"Pago título: 2118002379 1848 - PREFEITURA MUNICIPA 30/06/2021 LQ 2111,58 2111,58"
"Pago título: 2118002403 1885 - A PRESS TRANSPORTES 30/06/2021 LQ 210,79 210,79"
"Pago título: 2118002411 1902 - KENJI EXTRACAO E CO 30/06/2021 LQ 294,45 294,45"
"Pago título: 2118002443 1976 - SOL INVEST EMPREEND 30/06/2021 LQ 254,76 254,76"
"Pago título: 2118002451 1979 - QUIMICA AMPARO LTDA 30/06/2021 LQ 622,13 622,13"
"Pago título: 2118002467 1990 - PEDREIRA FAZENDA VE 30/06/2021 LQ 599,71 599,71"
"Pago título: 2118002475 2019 - BAERLOCHER DO BRASI 30/06/2021 LQ 994,48 994,48"
"Pago título: 2118002483 2074 - SALTORELLI TINTURAR 30/06/2021 LQ 895,5 895,5"
"Pago título: 2118002491 2083 - HANIER ESPECIALIDAD 30/06/2021 LQ 357,34 357,34"
"Pago título: 2118002499 2088 - ASSOCIA  O DE PROPR 30/06/2021 LQ 534,3 534,3"
"Pago título: 2118002507 2094 - ASSOCIA  O DE PROPR 30/06/2021 LQ 376,45 376,45"
"Pago título: 2118002523 2114 - MAXLAV LAVANDERIA E 30/06/2021 LQ 294,6 294,6"
"Pago título: 2118002547 2168 - EMEPE INDUSTRIA GRA 30/06/2021 LQ 201,28 201,28"
"Pago título: 2118002555 2170 - ISOTERM INDUSTRIA E 30/06/2021 LQ 811,56 811,56"
"Pago título: 2118002563 2172 - FARMINA PET FOODS B 30/06/2021 LQ 330,67 330,67"
"Pago título: 2118002579 2175 - INDUSTRIA E COMERCI 30/06/2021 LQ 685,46 685,46"
"Pago título: 2118002587 2176 - EVONIK BRASIL LTDA 30/06/2021 LQ 2600,51 2600,51"
"Pago título: 2118002595 2185 - CFI CONSULTORIA, PR 30/06/2021 LQ 355,86 355,86"
"Pago título: 2118002603 2205 - MPW LAVANDERIA CONF 30/06/2021 LQ 271,61 271,61"
"Pago título: 2118002611 2239 - CERAMICA RAMOS LTDA 30/06/2021 LQ 458,03 458,03"
"Pago título: 2118002627 2258 - ATMOSFERA GEST O E 30/06/2021 LQ 877,42 877,42"
"Pago título: 2118002635 2284 -  GUA VIDA TRANSPORT 30/06/2021 LQ 585,53 585,53"
"Pago título: 2118002651 2293 - BRUNO NICOLETTI TEC 30/06/2021 LQ 212,29 212,29"
"Pago título: 2118002675 2324 - BASF S/A 30/06/2021 LQ 333,75 333,75"
"Pago título: 2118002699 2337 - CERAMICA CARMELO FI 30/06/2021 LQ 791,72 791,72"
"Pago título: 2118002707 2348 - RAUL FERREIRA LEITE 30/06/2021 LQ 475,75 475,75"
"Pago título: 2118002723 2361 - TECELAGEM JOLITEX L 30/06/2021 LQ 496,76 496,76"
"Pago título: 2118002747 2392 - NEW PARQUE TENIS 30/06/2021 LQ 240,8 240,8"
"Pago título: 2118002755 2433 - INTERNATIONAL PAPER 30/06/2021 LQ 550,1 550,1"
"Pago título: 2118002763 2457 - HYUNDAI MOTOR BRASI 30/06/2021 LQ 920,24 920,24"
"Pago título: 2118002771 2458 - SENPAR TERRAS DE S 30/06/2021 LQ 322,41 322,41"
"Pago título: 2118002779 2464 - SPARTAN DO BRASIL P 30/06/2021 LQ 629,25 629,25"
"Pago título: 2118002787 2474 - DE MARCHI INDUSTRIA 30/06/2021 LQ 501,55 501,55"
"Pago título: 2118002795 2478 - ASSOC DOS PROPRIET 30/06/2021 LQ 320,45 320,45"
"Pago título: 2118002827 2559 - CONDOMINIO RESIDENC 30/06/2021 LQ 265,32 265,32"
"Pago título: 2118002835 2575 - LUBRASIL LUBRIFICAN 30/06/2021 LQ 224,24 224,24"
"Pago título: 2118002851 2590 - DIERBERGER  LEOS ES 30/06/2021 LQ 480,32 480,32"
"Pago título: 2118002875 2675 - CORR PLASTIK LTDA 30/06/2021 LQ 215,92 215,92"
"Pago título: 2118002883 2684 - ANTONIO SERGIO LEIT 30/06/2021 LQ 365,96 365,96"
"Pago título: 2118002915 2740 - EUCATEX IND STRIA E 30/06/2021 LQ 1027,74 1027,74"
"Pago título: 2118002923 2743 - SORVETES JUNDI  IND 30/06/2021 LQ 1027,97 1027,97"
"Pago título: 2118002931 2745 - CONDOM NIO DO SHOPP 30/06/2021 LQ 429,65 429,65"
"Pago título: 2118002939 2747 - SINTO BRASIL PRODUT 30/06/2021 LQ 761,63 761,63"
"Pago título: 2118002947 2748 - QUALITY BENEFICIADO 30/06/2021 LQ 477,2 477,2"
"Pago título: 2118002955 2750 - SERVICO AUTONOMO DE 30/06/2021 LQ 1165,23 1165,23"
"Pago título: 2118002979 2757 - CARAVITA EMPRESA DE 30/06/2021 LQ 847,23 847,23"
"Pago título: 2118002987 2773 - SOCIEDADE DE ARMAZE 30/06/2021 LQ 352,63 352,63"
"Pago título: 2118002995 2776 - KARINA PISOS E REVE 30/06/2021 LQ 263,49 263,49"
"Pago título: 2118003019 2814 - REAL INDUSTRIA E CO 30/06/2021 LQ 254,49 254,49"
"Pago título: 2118003027 2845 - SIND DO EMPREGADOS 30/06/2021 LQ 264,04 264,04"
"Pago título: 2118003035 2846 - AGUAS DAS TERRAS SO 30/06/2021 LQ 512,34 512,34"
"Pago título: 2118003043 2861 - KORIN AGROPECU RIA 30/06/2021 LQ 2011,08 2011,08"
"Pago título: 2118003051 2889 - I & M PAP IS E EMBA 30/06/2021 LQ 463,45 463,45"
"Pago título: 2118003059 2897 - REQUIPH METAL RGICA 30/06/2021 LQ 252,66 252,66"
"Pago título: 2118003067 2901 - A D RICARDO  GUA - 30/06/2021 LQ 427,66 427,66"
"Pago título: 2118003083 2910 - CHACARAS LONG ISLAN 30/06/2021 LQ 405,12 405,12"
"Pago título: 2118003091 2949 - INSTITUTO ADVENTIST 30/06/2021 LQ 293,32 293,32"
"Pago título: 2118003099 2952 - EXTRA  O E COM RCIO 30/06/2021 LQ 890,87 890,87"
"Pago título: 2118003107 2956 - CENTER GIRO TRANSPO 30/06/2021 LQ 215,43 215,43"
"Pago título: 2118003123 2965 - JAGUARI COMERCIAL E 30/06/2021 LQ 938,75 938,75"
"Pago título: 2118003139 2981 - VIVA PISOS E REVEST 30/06/2021 LQ 384,25 384,25"
"Pago título: 2118003147 2988 - K & G IND STRIA E C 30/06/2021 LQ 201,47 201,47"
"Pago título: 2118003163 3026 - RAIZEN ENERGIA S/A 30/06/2021 LQ 397,98 397,98"
"Pago título: 2118003187 3060 - ASSOCIA  O DOS PROP 30/06/2021 LQ 1096,24 1096,24"
"Pago título: 2118003211 3094 - RENATO PASSARIN & F 30/06/2021 LQ 329,36 329,36"
"Pago título: 2118003219 3097 - CISOL DO BRASIL EXP 30/06/2021 LQ 201,64 201,64"
"Pago título: 2118003227 3107 - RUY R. DA ROCHA PRO 30/06/2021 LQ 219,58 219,58"
"Pago título: 2118003235 3111 - BRASWELL PAPEL E CE 30/06/2021 LQ 989,84 989,84"
"Pago título: 2118003243 3112 - SUELI TADOKORO MURA 30/06/2021 LQ 208,74 208,74"
"Pago título: 2118003291 3163 - RESIDENCIAL FAZENDA 30/06/2021 LQ 355,21 355,21"
"Pago título: 2118003299 3170 - MAUR CIO ROBERTO FO 30/06/2021 LQ 451,18 451,18"
"Pago título: 2118003307 3196 - CEDASA IND STRIA E 30/06/2021 LQ 713,62 713,62"
"Pago título: 2118003331 3253 - COPASIL QUIMICA IND 30/06/2021 LQ 387,77 387,77"
"Pago título: 2118003339 3262 - ASSOCIA  O DE AMIGO 30/06/2021 LQ 771,28 771,28"
"Pago título: 2118003355 3310 - ELDER COSTA RODRIGU 30/06/2021 LQ 866,2 866,2"
"Pago título: 2118003363 3328 - EXPRESSO CAMPIBUS L 30/06/2021 LQ 452,43 452,43"
"Pago título: 2118003379 3336 - CONDOM NIO RESIDENC 30/06/2021 LQ 438,44 438,44"
"Pago título: 2118003403 3365 - MALIBER INDUSTRIA E 30/06/2021 LQ 505,31 505,31"
"Pago título: 2118003411 3366 - TECHIMPORT TECNOLOG 30/06/2021 LQ 337,09 337,09"
"Pago título: 2118003419 3374 - ATMOSFERA GEST O E 30/06/2021 LQ 1424,32 1424,32"
"Pago título: 2118003427 3377 - COMERCIO DE  GUAS E 30/06/2021 LQ 274,47 274,47"
"Pago título: 2118003467 3384 - FRIGODELISS LTDA 30/06/2021 LQ 3168,13 3168,13"
"Pago título: 2118003491 3413 - TUIUTI ECO PARK EMP 30/06/2021 LQ 294,93 294,93"
"Pago título: 2118003499 3423 - A. A. DE MELO & CIA 30/06/2021 LQ 224,04 224,04"
"Pago título: 2118003531 3449 - CER MICA CARMELO FI 30/06/2021 LQ 829,17 829,17"
"Pago título: 2118003539 3453 - CER MICA SAVANE LTD 30/06/2021 LQ 453,72 453,72"
"Pago título: 2118003563 3480 - MEDI HOUSE IND E CO 30/06/2021 LQ 343,31 343,31"
"Pago título: 2118003587 3514 - CER MICA GRESCA G3 30/06/2021 LQ 263,49 263,49"
"Pago título: 2118003595 3535 - JOFEGE FIA  O E TEC 30/06/2021 LQ 1142,17 1142,17"
"Pago título: 2118003651 3637 - PICOLI & CARRARA CO 30/06/2021 LQ 439,15 439,15"
"Pago título: 2118003659 3644 - IBG CRYO IND STRIA 30/06/2021 LQ 304,94 304,94"
