"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72457743009202421819.ret"
""
"Cadastrado título novo: 9000008246 5565 - WHITE MARTINS GASES 31/10/2024 RG 590,29 0"
"Cadastrado título novo: 9000008247 3701 - ASSOCIACAO DE SOCIOS 31/10/2024 RG 2274,67 0"
"Pago título: 2400003886 1591 - TQA INDUSTRIA E COME 30/09/2024 LQ 622,13 622,13"
"Pago título: 2400003890 46 - ASSOCIACAO DE MORADORE 30/09/2024 LQ 622,12 622,12"
"Pago título: 2400003906 182 - UNIPEL INDUSTRIA E CO 30/09/2024 LQ 605,42 605,42"
"Pago título: 2400003922 5323 - ERCA INDUSTRIA E COM 30/09/2024 LQ 596,91 596,91"
"Pago título: 2400003930 4869 - ASSOCIACAO DOS MORAD 30/09/2024 LQ 592,86 592,86"
"Pago título: 2400003958 2949 - INSTITUTO ADVENTISTA 30/09/2024 LQ 586,63 586,63"
"Pago título: 2400003962 985 - CONDOMINIO FAZENDA DU 30/09/2024 LQ 586,34 586,34"
"Pago título: 2400003970 1289 - ASGA S/A 30/09/2024 LQ 585,54 585,54"
"Pago título: 2400003978 7322 - CAMARGO COMPANHIA DE 30/09/2024 LQ 585,54 585,54"
"Pago título: 2400003994 1122 - PPC SANTANA EQUIPAME 30/09/2024 LQ 583,47 583,47"
"Pago título: 2400003998 3480 - MEDI HOUSE IND E COM 30/09/2024 LQ 582,13 582,13"
"Pago título: 2400004006 3366 - TECHIMPORT TECNOLOGI 30/09/2024 LQ 579,89 579,89"
"Pago título: 2400004030 7704 - ASS DOS PROPRIETARIO 30/09/2024 LQ 572,01 572,01"
"Pago título: 2400004038 2745 - CONDOMINIO DO SHOPPI 30/09/2024 LQ 571,26 571,26"
"Pago título: 2400004042 3397 - PREFEITURA MUNICIPAL 30/09/2024 LQ 569,41 569,41"
"Pago título: 2400004046 7715 - CHT BRASIL QUIMICA L 30/09/2024 LQ 568,56 568,56"
"Pago título: 2400004058 2094 - ASSOCIACAO DE PROPRI 30/09/2024 LQ 565,56 565,56"
"Pago título: 2400004066 3323 - HORTOLANDIA INCORPOR 30/09/2024 LQ 564,73 564,73"
"Pago título: 2400004086 2074 - SALTORELLI TINTURARI 30/09/2024 LQ 559,89 559,89"
"Pago título: 2400004094 852 - ECOFABRIL INDUSTRIA E 30/09/2024 LQ 556,48 556,48"
"Pago título: 2400004110 5803 - ASSOCIACAO DOS AMIGO 30/09/2024 LQ 548,93 548,93"
"Pago título: 2400004118 7843 - CERAMICA ALMEIDA LTD 30/09/2024 LQ 548,93 548,93"
"Pago título: 2400004122 1144 - ASSOCIACAO PROPRIET. 30/09/2024 LQ 548,93 548,93"
"Pago título: 2400004134 5161 - MISTER GELO IND. DE 30/09/2024 LQ 540,55 540,55"
"Pago título: 2400004146 5654 - FUNDICAO REGALI BRAS 30/09/2024 LQ 539,3 539,3"
"Pago título: 2400004162 2559 - CONDOMINIO RESIDENCI 30/09/2024 LQ 530,64 530,64"
"Pago título: 2400004182 2776 - KARINA PISOS E REVES 30/09/2024 LQ 526,98 526,98"
"Pago título: 2400004186 3514 - CERAMICA GRESCA G3 L 30/09/2024 LQ 526,98 526,98"
"Pago título: 2400004190 5805 - QUIBRITA MINERADORA 30/09/2024 LQ 526,39 526,39"
"Pago título: 2400004194 1675 - ASSOCIACAO DOS MORAD 30/09/2024 LQ 522,59 522,59"
"Pago título: 2400004198 166 - BRF - BRASIL FOODS S/ 30/09/2024 LQ 519,2 519,2"
"Pago título: 2400004202 3679 - CMR INDUSTRIA E COME 30/09/2024 LQ 515,67 515,67"
"Pago título: 2400004206 1701 - TINTURARIA E ESTAMPA 30/09/2024 LQ 515,44 515,44"
"Pago título: 2400004218 6918 - RAMOS & RIBEIRO EMPR 30/09/2024 LQ 513,79 513,79"
"Pago título: 2400004222 7720 - ASSOC DOS MORADORES 30/09/2024 LQ 512,35 512,35"
"Pago título: 2400004234 1976 - SOL INVEST EMPREENDI 30/09/2024 LQ 509,53 509,53"
"Pago título: 2400004238 2814 - REAL INDUSTRIA E COM 30/09/2024 LQ 508,99 508,99"
"Pago título: 2400004258 6366 - SOCIEDADE AGOSTINIAN 30/09/2024 LQ 505,48 505,48"
"Pago título: 2400004262 2897 - REQUIPH METALURGICA 30/09/2024 LQ 505,33 505,33"
"Pago título: 2400004270 7379 - AGROPLANTAS FLORES L 30/09/2024 LQ 504,61 504,61"
"Pago título: 2400004274 1830 - SUOMINEN BRASIL INDU 30/09/2024 LQ 500,27 500,27"
"Pago título: 2400004278 7867 - JRZ & SERRANO EMPREE 30/09/2024 LQ 497,69 497,69"
"Pago título: 2400004286 3 - CONDOMINIO RESIDENCIAL 30/09/2024 LQ 492,35 492,35"
"Pago título: 2400004290 1990 - PEDREIRA FAZENDA VEL 30/09/2024 LQ 490,29 490,29"
"Pago título: 2400004314 4385 - MATEUS CAVALCANTI IZ 30/09/2024 LQ 475,74 475,74"
"Pago título: 2400004322 2375 - PRODUTOS ALIMENTICIO 30/09/2024 LQ 473,01 473,01"
"Pago título: 2400004326 1603 - OLIVEIRA & LOPES LTD 30/09/2024 LQ 472,12 472,12"
"Pago título: 2400004330 4827 - BOM PEIXE INDUSTRIA 30/09/2024 LQ 468,42 468,42"
"Pago título: 2400004338 997 - CEDASA INDUSTRIA E CO 30/09/2024 LQ 461,1 461,1"
"Pago título: 2400004354 2575 - LUBRASIL LUBRIFICANT 30/09/2024 LQ 448,47 448,47"
"Pago título: 2400004358 1033 - CCS TECNOLOGIA E SER 30/09/2024 LQ 447,04 447,04"
"Pago título: 2400004362 149 - GREEN GOLF CLUB 30/09/2024 LQ 445,94 445,94"
"Pago título: 2400004386 3971 - VIEIRA E RODRIGUES T 30/09/2024 LQ 439,15 439,15"
"Pago título: 2400004394 112 - LUME CERAMICA LTDA 30/09/2024 LQ 439,15 439,15"
"Pago título: 2400004402 3107 - RUY R. DA ROCHA PROD 30/09/2024 LQ 439,15 439,15"
"Pago título: 2400004406 73 - NARDINI PISOS E REVEST 30/09/2024 LQ 439,15 439,15"
"Pago título: 2400004410 4356 - CONDOMINIO RESIDENCI 30/09/2024 LQ 439,15 439,15"
"Pago título: 2400004426 183 - TEXTIL BASSETO LTDA 30/09/2024 LQ 435,41 435,41"
"Pago título: 2400004430 7829 - ACNL LOTEADORA E PAR 30/09/2024 LQ 435,14 435,14"
"Pago título: 2400004442 4916 - CLUBE ATLETICO VALIN 30/09/2024 LQ 432 432"
"Pago título: 2400004446 4485 - PARQUE DOS EUCALIPTO 30/09/2024 LQ 431,45 431,45"
"Pago título: 2400004450 2956 - CENTER GIRO TRANSPOR 30/09/2024 LQ 430,87 430,87"
"Pago título: 2400004462 1266 - ASSOCIACAO COMUNITAR 30/09/2024 LQ 428,18 428,18"
"Pago título: 2400004470 1609 - GRANITEC IND E COM D 30/09/2024 LQ 427,56 427,56"
"Pago título: 2400004478 855 - LOG & PRINT GRAFICA E 30/09/2024 LQ 425,25 425,25"
"Pago título: 2400004482 2293 - BRUNO NICOLETTI TECI 30/09/2024 LQ 424,58 424,58"
"Pago título: 2400004490 5606 - AROMA BIOENERGIA LTD 30/09/2024 LQ 422,02 422,02"
"Pago título: 2400004494 1885 - A PRESS TRANSPORTES 30/09/2024 LQ 421,59 421,59"
"Pago título: 2400004498 896 - PREFEITURA MUNICIPAL 30/09/2024 LQ 413,59 413,59"
"Pago título: 2400004502 4059 - ATI GEL FRUTAS CONGE 30/09/2024 LQ 411,16 411,16"
"Pago título: 2400004522 2988 - K & G INDUSTRIA E CO 30/09/2024 LQ 402,94 402,94"
"Pago título: 2400004526 604 - ASSOCIACAO RESIDENCIA 30/09/2024 LQ 402,56 402,56"
"Pago título: 2400004530 2168 - EMEPE INDUSTRIA GRAF 30/09/2024 LQ 402,56 402,56"
"Pago título: 2400004538 1137 - SICAD DO BRASIL FITA 30/09/2024 LQ 398,7 398,7"
"Pago título: 2400004546 5303 - ASSOCIACAO DOS MORAD 30/09/2024 LQ 395,22 395,22"
"Pago título: 2400004554 4479 - PERFORM PARTICIPACOE 30/09/2024 LQ 394,84 394,84"
"Pago título: 2400004558 5409 - TATIANA CRISTINA DE 30/09/2024 LQ 394,3 394,3"
"Pago título: 2400004566 7717 - ASSOCIACAO DO CONJUN 30/09/2024 LQ 393,8 393,8"
"Pago título: 2400004570 202 - NOVA PLAST IND E COM 30/09/2024 LQ 393,13 393,13"
"Pago título: 2400004578 2196 - ASSOCIACAO CIVIL PAR 30/09/2024 LQ 390,62 390,62"
"Pago título: 2400004594 7711 - PAULO SETUBAL NETO 30/09/2024 LQ 386,44 386,44"
"Pago título: 2400004602 1993 - CABLENA DO BRASIL LT 30/09/2024 LQ 385 385"
"Pago título: 2400004606 2082 - COLORFLEX ESTAMPARIA 30/09/2024 LQ 384,35 384,35"
"Pago título: 2400004610 7027 - ETIQUETTA BRANCA IND 30/09/2024 LQ 382,99 382,99"
"Pago título: 2400004614 1130 - BRASALIMENT INDUSTRI 30/09/2024 LQ 381,91 381,91"
"Pago título: 2400004618 3540 - COMERCIAL DE ALIMENT 30/09/2024 LQ 380,98 380,98"
"Pago título: 2400004626 1870 - MALIBER INDUSTRIA E 30/09/2024 LQ 373,28 373,28"
"Pago título: 2400004630 7740 - ASSOC. DOS MORADORES 30/09/2024 LQ 372,44 372,44"
"Pago título: 2400004646 3328 - EXPRESSO CAMPIBUS LT 30/09/2024 LQ 367,78 367,78"
"Pago título: 2400004650 658 - LUIZ DE MORAES BARROS 30/09/2024 LQ 365,95 365,95"
"Pago título: 2400004654 680 - JOSE EDUARDO ANNICCHI 30/09/2024 LQ 365,95 365,95"
"Pago título: 2400004662 3212 - PEDREIRA NOGUEIRENSE 30/09/2024 LQ 365,95 365,95"
"Pago título: 2400004674 4512 - INSTITUTO DE ENSINO 30/09/2024 LQ 365,95 365,95"
"Pago título: 2400004690 5492 - BUONO GEL INDUSTRIA 30/09/2024 LQ 365,95 365,95"
"Pago título: 2400004694 2028 - TERMOTECNICA LTDA 30/09/2024 LQ 365,95 365,95"
"Pago título: 2400004698 3094 - RENATO PASSARIN & FI 30/09/2024 LQ 365,96 365,96"
"Pago título: 2400004706 5575 - FONTE GELO LTDA 30/09/2024 LQ 365,58 365,58"
"Pago título: 2400004714 3059 - VIC 01 SBO EMPREENDI 30/09/2024 LQ 364,71 364,71"
"Pago título: 2400004726 5491 - BREW CENTER CERVEJAS 30/09/2024 LQ 361,41 361,41"
"Pago título: 2400004734 3423 - A. A. DE MELO & CIA 30/09/2024 LQ 360,76 360,76"
"Pago título: 2400004758 1308 - INDUSTRIA DE BEBIDAS 30/09/2024 LQ 355,74 355,74"
"Pago título: 2400004762 4132 - MRGM PARTICIPACOES E 30/09/2024 LQ 355,72 355,72"
"Pago título: 2400004770 1936 - IVO ZARZUR ADMINISTR 30/09/2024 LQ 354,88 354,88"
"Pago título: 2400004778 4315 - AGE DO BRASIL INDUST 30/09/2024 LQ 351,32 351,32"
"Pago título: 2400004782 5449 - CONDOMINIO HOTEL INT 30/09/2024 LQ 351,32 351,32"
"Pago título: 2400004794 3271 - ASSOCIACAO DOS PROPR 30/09/2024 LQ 351,32 351,32"
"Pago título: 2400004798 349 - SOBAM CENTRO MEDICO H 30/09/2024 LQ 351,02 351,02"
"Pago título: 2400004802 4135 - ALCEBIADES FERREIRA 30/09/2024 LQ 348,97 348,97"
"Pago título: 2400004810 3600 - RENAN SOUZA SPINA ME 30/09/2024 LQ 347,59 347,59"
"Pago título: 2400004811 3600 - RENAN SOUZA SPINA ME 31/10/2024 LQ 347,6 347,6"
"Pago título: 2400004830 521 - SPG PRINTS BRASIL LTD 30/09/2024 LQ 342,15 342,15"
"Pago título: 2400004834 7765 - ASS MOR DO LOTEAMENT 30/09/2024 LQ 342 342"
"Pago título: 2400004838 474 - VINGI INDUSTRIA TEXTI 30/09/2024 LQ 341,94 341,94"
"Pago título: 2400004842 1050 - CIA SANEAMENTO BASIC 30/09/2024 LQ 341,02 341,02"
"Pago título: 2400004846 2686 - BOM PEIXE INDUSTRIA 30/09/2024 LQ 340,14 340,14"
"Pago título: 2400004854 495 - NEUMAYER TEKFOR AUTOM 30/09/2024 LQ 339,33 339,33"
"Pago título: 2400004858 959 - ASK PRODUTOS QUIMICOS 30/09/2024 LQ 339,11 339,11"
"Pago título: 2400004862 5486 - ASSOCIACAO DO BRAGAN 30/09/2024 LQ 338,83 338,83"
"Pago título: 2400004866 7881 - MAG SAC EMBALAGENS L 30/09/2024 LQ 338,83 338,83"
"Pago título: 2400004878 5622 - CLEUSA TERESINHA PIO 30/09/2024 LQ 335,28 335,28"
"Pago título: 2400004882 1113 - PPC SANTANA EQUIPAME 30/09/2024 LQ 334,92 334,92"
"Pago título: 2400004886 4829 - CLUBE RECREATIVO SUM 30/09/2024 LQ 333,03 333,03"
"Pago título: 2400004890 3853 - MONTE COR PROTECAO D 30/09/2024 LQ 331,87 331,87"
"Pago título: 2400004894 7799 - CELLIER ALIMENTOS DO 30/09/2024 LQ 331,62 331,62"
"Pago título: 2400004902 2304 - LAZARO MELLO BRANDAO 30/09/2024 LQ 329,73 329,73"
"Pago título: 2400004906 2935 - CERAMICA ALMEIDA LTD 30/09/2024 LQ 329,63 329,63"
"Pago título: 2400004914 2528 - MULTILOG BRASIL S.A. 30/09/2024 LQ 329,37 329,37"
"Pago título: 2400004922 4840 - CIALENE INDUSTRIA E 30/09/2024 LQ 329,37 329,37"
"Pago título: 2400004926 3124 - BARREIRENSE PRODUTOS 30/09/2024 LQ 329,37 329,37"
"Pago título: 2400004942 2653 - TANQUE MATERIAS PARA 30/09/2024 LQ 328,86 328,86"
"Pago título: 2400004946 3529 - TECELAGEM JOLITEX LT 30/09/2024 LQ 328,37 328,37"
"Pago título: 2400004950 1415 - DPV PRODUTOS QUIMICO 30/09/2024 LQ 327,94 327,94"
"Pago título: 2400004954 3594 - CPM CONCRETO DE PRE 30/09/2024 LQ 327,05 327,05"
"Pago título: 2400004958 760 - LETICIA APARECIDA MAR 30/09/2024 LQ 326,2 326,2"
"Pago título: 2400004970 4887 - RAIZEN ENERGIA S.A. 30/09/2024 LQ 323,5 323,5"
"Pago título: 2400004974 7767 - CONDOMINIO PANORAMA 30/09/2024 LQ 323,49 323,49"
"Pago título: 2400004978 3516 - JOSE JORGE BERARDINE 30/09/2024 LQ 322,05 322,05"
"Pago título: 2400004986 1323 - TEXTIL SUCCI LTDA-ME 30/09/2024 LQ 321,48 321,48"
"Pago título: 2400004994 2227 - COMSAPE EXTRACAO E C 30/09/2024 LQ 321,04 321,04"
"Pago título: 2400004998 7851 - HIPERMIX JUNDIAI SER 30/09/2024 LQ 320,61 320,61"
"Pago título: 2400005002 1276 - INDUSTRIA E COMERCIO 30/09/2024 LQ 320,18 320,18"
"Pago título: 2400005006 186 - OBER S/A INDUSTRIA E 30/09/2024 LQ 319,83 319,83"
"Pago título: 2400005018 2301 - DRYLLER INDUSTRIA E 30/09/2024 LQ 317,64 317,64"
"Pago título: 2400005030 1414 - CERVEJARIA ASHBY LTD 30/09/2024 LQ 315,04 315,04"
"Pago título: 2400005038 1558 - CONDOMINIO CHACARAS 30/09/2024 LQ 314,73 314,73"
"Pago título: 2400005042 135 - CONDOMINIO RESIDENCIA 30/09/2024 LQ 313,97 313,97"
"Pago título: 2400005046 4477 - LAZARO FERNANDES PER 30/09/2024 LQ 311,8 311,8"
"Pago título: 2400005066 14 - BORGWARNER INDUSTRIA E 30/09/2024 LQ 309,63 309,63"
"Pago título: 2400005074 1437 - CONDOMINIO EDIFICIO 30/09/2024 LQ 305,8 305,8"
"Pago título: 2400005078 2687 - ROTOCROM INDUSTRIA E 30/09/2024 LQ 305,63 305,63"
"Pago título: 2400005086 975 - BANN QUIMICA LTDA 30/09/2024 LQ 304,07 304,07"
"Pago título: 2400005114 3670 - TRANS KOTHE TRANSPOR 30/09/2024 LQ 300,45 300,45"
"Pago título: 2400005118 3022 - BORGWARNER BRASIL LT 30/09/2024 LQ 300,3 300,3"
"Pago título: 2400005122 3098 - ASSOC DOS PROPR E MO 30/09/2024 LQ 299,35 299,35"
"Pago título: 2400005134 301 - CRIA SIM PRODUTOS DE 30/09/2024 LQ 298,21 298,21"
"Pago título: 2400005138 1774 - MINERACAO SAARA EXTR 30/09/2024 LQ 296,81 296,81"
"Pago título: 2400005142 4053 - ASSOCIACAO DOS PROPR 30/09/2024 LQ 296,43 296,43"
"Pago título: 2400005150 3803 - ASSOCIACAO ALPHAVILL 30/09/2024 LQ 294,01 294,01"
"Pago título: 2400005158 7824 - IBIRAPUERA TEXTIL LT 30/09/2024 LQ 293,18 293,18"
"Pago título: 2400005170 7294 - ASSOCIACAO DE PROPRI 30/09/2024 LQ 292,76 292,76"
"Pago título: 2400005182 3991 - HIGIBRAG TRANSPORTE 30/09/2024 LQ 292,76 292,76"
"Pago título: 2400005186 2832 - THERMAS DAS AGUAS DE 30/09/2024 LQ 292,76 292,76"
"Pago título: 2400005190 3615 - IMOBILIARIA HELVETIA 30/09/2024 LQ 292,75 292,75"
"Pago título: 2400005202 894 - DAUNE TRAVESSEIROS DE 30/09/2024 LQ 288,45 288,45"
"Pago título: 2400005206 3285 - ASSOCIACAO VILLAGE L 30/09/2024 LQ 287,81 287,81"
"Pago título: 2400005214 4016 - ITA - AREIA COMERCIO 30/09/2024 LQ 285,43 285,43"
"Pago título: 2400005230 890 - LABORATORIO TAYUYNA L 30/09/2024 LQ 280,57 280,57"
"Pago título: 2400005250 7741 - ASSOCIACAO DOS PROP 30/09/2024 LQ 277,33 277,33"
"Pago título: 2400005258 7011 - JS ESPUMAS FLEXIVEIS 30/09/2024 LQ 276,47 276,47"
"Pago título: 2400005266 1832 - LANMAR INDUSTRIA MET 30/09/2024 LQ 274,16 274,16"
"Pago título: 2400005278 969 - PRALANA INDUSTRIA E C 30/09/2024 LQ 272,2 272,2"
"Pago título: 2400005282 4327 - CEETEPS-CENTRO ESTAD 30/09/2024 LQ 270,81 270,81"
"Pago título: 2400005290 2389 - JOFEGE CONCRETO LTDA 30/09/2024 LQ 269,62 269,62"
"Pago título: 2400005306 4396 - VIVENDA ASSOCIACAO L 30/09/2024 LQ 267,15 267,15"
"Pago título: 2400005314 7844 - L.A. FERRETTI EIRELI 30/09/2024 LQ 264,68 264,68"
"Pago título: 2400005318 769 - LUIZ CARLOS SCARPONI 30/09/2024 LQ 263,49 263,49"
"Pago título: 2400005326 7330 - LA VITA ALIMENTOS AG 30/09/2024 LQ 263,49 263,49"
"Pago título: 2400005330 4136 - STORAGE ADMINISTRACA 30/09/2024 LQ 263,49 263,49"
"Pago título: 2400005334 3729 - NP EMPREENDIMENTOS L 30/09/2024 LQ 263,49 263,49"
"Pago título: 2400005338 2137 - PREFEITURA MUNICIPAL 30/09/2024 LQ 262,44 262,44"
"Pago título: 2400005346 953 - MAHLE COMPRESSORES DO 30/09/2024 LQ 258,52 258,52"
"Pago título: 2400005350 3945 - BRASA BURGER IND E C 30/09/2024 LQ 257,85 257,85"
"Pago título: 2400005354 617 - JOAO BOZZA JUNIOR 30/09/2024 LQ 256,18 256,18"
"Pago título: 2400005358 3680 - T & K LOCACOES DE QU 30/09/2024 LQ 256,18 256,18"
"Pago título: 2400005366 3424 - ASSOCIACAO DOS PROP. 30/09/2024 LQ 256,17 256,17"
"Pago título: 2400005370 155 - AUTO POSTO AMIGAO DA 30/09/2024 LQ 256,17 256,17"
"Pago título: 2400005374 3656 - FAZENDA TOZAN DO BRA 30/09/2024 LQ 256,16 256,16"
"Pago título: 2400005378 1572 - ETAPA EDUCACIONAL LT 30/09/2024 LQ 256,03 256,03"
"Pago título: 2400005398 2367 - INDUSTRIA DE FRIOS X 30/09/2024 LQ 253,3 253,3"
"Pago título: 2400005402 3259 - BAG CLEANER COMERCIO 30/09/2024 LQ 252,88 252,88"
"Pago título: 2400005406 153 - CONDOMINIO BOSQUE DOS 30/09/2024 LQ 251,33 251,33"
"Pago título: 2400005410 2280 - TINTURARIA SANTA ADE 30/09/2024 LQ 250,45 250,45"
"Pago título: 2400005426 5907 - TSI - EMPREENDIMENTO 30/09/2024 LQ 248,85 248,85"
"Pago título: 2400005442 2051 - BISCOITONE INDUSTRIA 30/09/2024 LQ 244,2 244,2"
"Pago título: 2400005454 522 - CONDOMINIO RESIDENCIA 30/09/2024 LQ 241,14 241,14"
"Pago título: 2400005458 1598 - ARTEC PISOS E REVEST 30/09/2024 LQ 239,39 239,39"
"Pago título: 2400005466 1892 - INBRA INDUSTRIAS QUI 30/09/2024 LQ 238,55 238,55"
"Pago título: 2400005470 1020 - CONDOMINIO RESIDENCI 30/09/2024 LQ 236,4 236,4"
"Pago título: 2400005474 4148 - CHRISTEYNS BRASIL PR 30/09/2024 LQ 236,05 236,05"
"Pago título: 2400005478 3162 - CONGE FRUTAS LTDA EP 30/09/2024 LQ 234,64 234,64"
"Pago título: 2400005494 2657 - INDUSTRIAS NARDINI S 30/09/2024 LQ 234,07 234,07"
"Pago título: 2400005498 3771 - INDUSTRIA E COMERCIO 30/09/2024 LQ 233,04 233,04"
"Pago título: 2400005502 4093 - UNIVERSAL INDUSTRIAS 30/09/2024 LQ 232,93 232,93"
"Pago título: 2400005506 3288 - SELIAL IND E COM, IM 30/09/2024 LQ 231,88 231,88"
"Pago título: 2400005514 290 - MAKRO ATACADISTA S/A 30/09/2024 LQ 230,56 230,56"
"Pago título: 2400005538 450 - CONDOMINIO CHACARAS D 30/09/2024 LQ 229,09 229,09"
"Pago título: 2400005550 2594 - A A DE MELO & CIA LT 30/09/2024 LQ 226,23 226,23"
"Pago título: 2400005574 260 - SERVICO DE SAUDE DR. 30/09/2024 LQ 223,96 223,96"
"Pago título: 2400005626 5390 - LOLLY BABY PRODUTOS 30/09/2024 LQ 219,56 219,56"
"Pago título: 2400005630 3726 - SATOSHI ITO E OUTROS 30/09/2024 LQ 219,56 219,56"
"Pago título: 2400005638 4164 - SERELLO RECICLAGEM 30/09/2024 LQ 219,56 219,56"
"Pago título: 2400005642 1945 - G-KT DO BRASIL LTDA 30/09/2024 LQ 219,56 219,56"
"Pago título: 2400005650 5621 - CENTERANEL 1 PARTICI 30/09/2024 LQ 219,56 219,56"
"Pago título: 2400005666 6982 - ASSOCIACAO DOS MORAD 30/09/2024 LQ 219,56 219,56"
"Pago título: 2400005670 3663 - ASSOCIACAO DOS ADQ L 30/09/2024 LQ 219,56 219,56"
"Pago título: 2400005674 3340 - FRIGOGIL INDUSTRIAL 30/09/2024 LQ 219,56 219,56"
"Pago título: 2400005698 5635 - RECAP CONSTRUTORA E 30/09/2024 LQ 216,56 216,56"
"Pago título: 2400005706 3819 - ASSOCIACAO ADMINISTR 30/09/2024 LQ 215,39 215,39"
"Pago título: 2400005710 3459 - JOFEGE CONCRETO LTDA 30/09/2024 LQ 215,37 215,37"
"Pago título: 2400005714 4534 - CONDOMINIO CIVIL CEN 30/09/2024 LQ 215,1 215,1"
"Pago título: 2400005726 2833 - CONDAT LUBRIFICANTES 30/09/2024 LQ 214,4 214,4"
"Pago título: 2400005730 1967 - PLASTICOS SANTANA LT 30/09/2024 LQ 214,07 214,07"
"Pago título: 2400005750 5468 - LUCIANO TORELLI E CI 30/09/2024 LQ 211,74 211,74"
"Pago título: 2400005754 3150 - QUARTZO MINERACAO LT 30/09/2024 LQ 211,74 211,74"
"Pago título: 2400005770 5633 - IBIS AGRARIA LTDA 30/09/2024 LQ 210,8 210,8"
"Pago título: 2400005778 3946 - CAMPEAO 68 POSTO DE 30/09/2024 LQ 210,34 210,34"
"Pago título: 2400005782 1039 - BRAGA COMERCIO E IND 30/09/2024 LQ 210,22 210,22"
"Pago título: 2400005786 1445 - SOCIEDADE DOS AMIGOS 30/09/2024 LQ 209,24 209,24"
"Pago título: 2400005790 7669 - ASSOCIACAO DA INSTIT 30/09/2024 LQ 208,59 208,59"
"Pago título: 2400005802 1228 - FERNANDES TEXTIL LTD 30/09/2024 LQ 207,49 207,49"
"Pago título: 2400005826 7361 - GENCONS EMPREENDIMEN 30/09/2024 LQ 204,93 204,93"
"Pago título: 2400005830 4895 - VYLLA EMPREENDIMENTO 30/09/2024 LQ 204,93 204,93"
"Pago título: 2400005846 7092 - VF 11 PALMAS DO PAIO 30/09/2024 LQ 202,2 202,2"
"Pago título: 2400005854 7710 - WLM PART E COMERCIO 30/09/2024 LQ 201,27 201,27"
"Pago título: 2400005858 1817 - TECITEX TINTURARIA E 30/09/2024 LQ 201,03 201,03"
"Pago título: 2400005862 3856 - BRASPARK ADMINISTRAD 30/09/2024 LQ 201,02 201,02"
"Pago título: 9000007930 2359 - AGROPECUARIA TUIUTI 30/09/2024 LQ 1912,9 1912,9"
"Pago título: 9000008078 4197 - ASSOCIACAO DOS PROPR 30/09/2024 LQ 606,38 606,38"
"Pago título: 9000008096 826 - DEPARTAMENTO AUTONOMO 30/09/2024 LQ 80000 80000"
"Pago título: 9000008102 951 - SERVICO AUTONOMO DE A 30/09/2024 LQ 19704,64 19704,64"
"Pago título: 9000008111 1105 - RECAM RC LTDA 30/09/2024 LQ 2012,77 2012,77"
"Pago título: 9000008131 3696 - AGUAS DE CAMPINAS TR 30/09/2024 LQ 578,31 578,31"
"Pago título: 9000008159 7731 - ASSOC DOS MORADORES 30/09/2024 LQ 508,09 508,09"
"Pago título: 9000008172 3901 - FARMABASE SAUDE ANIM 30/09/2024 LQ 282,75 282,75"
"Pago título: 9000008174 658 - LUIZ DE MORAES BARROS 30/09/2024 LQ 280,41 280,41"
"Pago título: 9000008176 3920 - ITATIBA ESPORTE CLUB 30/09/2024 LQ 269,4 269,4"
"Pago título: 9000008179 955 - PREFEITURA DO MUNICIP 30/09/2024 LQ 24703,86 24703,86"
"Pago título: 9000008182 7766 - AGROPECUARIA TUIUTI 30/09/2024 LQ 3712,48 3712,48"
"Pago título: 9000008193 4518 - SAO PAULO MINAS COME 30/09/2024 LQ 378,02 378,02"
"Pago título: 9000008197 213 - BASF CATALISADORES LT 30/09/2024 LQ 369,66 369,66"
"Pago título: 9000008198 7882 - BASF CATALISADORES L 30/09/2024 LQ 173,55 173,55"
"Pago título: 9000008199 372 - ASSOCIACAO MORAD PROP 30/09/2024 LQ 363,03 363,03"
"Pago título: 9000008203 377 - ANDRITZ FABRICS AND R 30/09/2024 LQ 251,04 251,04"
"Pago título: 9000008206 2154 - PREFEITURA DO MUNICI 30/09/2024 LQ 579,07 579,07"
"Pago título: 9000008210 7883 - ASSOCIACAO NOVA DIST 30/09/2024 LQ 201,23 201,23"
"Pago título: 9000008214 491 - CATERPILLAR BRASIL LT 30/09/2024 LQ 4009,74 4009,74"
"Pago título: 9000008215 7884 - ASSOCIACAO DE CONSER 30/09/2024 LQ 292,76 292,76"
"Pago título: 9000008219 3730 - CONDOMINIO PIAZZA DI 30/09/2024 LQ 945,87 945,87"
"Pago título: 9000008220 4164 - SERELLO RECICLAGEM 30/09/2024 LQ 257,43 257,43"
"Pago título: 9000008221 4715 - ACD EMPREENDIMENTOS 30/09/2024 LQ 205,25 205,25"
"Pago título: 9000008222 3413 - TUIUTI ECO PARK EMPR 30/09/2024 LQ 673,06 673,06"
"Pago título: 9000008227 3011 - VIRONDA CONFECCOES L 30/09/2024 LQ 3348,51 3348,51"
"Pago título: 9000008240 2498 - BEMARCO ESTRUTURAS L 30/09/2024 LQ 198,62 198,62"
"ERRO! Operação desconhecida: 2400000016 956 - CERAMICA VILLAGRES LT 04/10/2024 VC 7231,32 0"
"ERRO! Operação desconhecida: 2400000028 3339 - ASSOCIACAO DE MELHOR 04/10/2024 VC 4670,92 0"
"ERRO! Operação desconhecida: 2400000099 933 - MIBA SINTER BRASIL LT 15/10/2024 VC 1446,26 0"
